epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,181.946,1.04971,2.07551,1.23349,0.7828,0.76276,0.8209,0.63862,0.99058,1.02408,1.1629,0.00333027,0.00333027,0.00333027
2,353.713,1.07449,1.51939,1.19345,0.76975,0.73667,0.79849,0.58317,1.03366,0.98265,1.19169,0.00659764,0.00659764,0.00659764
3,522.681,1.15084,1.38655,1.23866,0.67923,0.68427,0.70266,0.47854,1.12868,1.01335,1.273,0.009799,0.009799,0.009799
4,690.275,1.18372,1.25255,1.26368,0.73744,0.67955,0.74986,0.53317,1.07949,0.94546,1.26148,0.009703,0.009703,0.009703
5,857.061,1.13769,1.04932,1.23632,0.79483,0.70513,0.79654,0.60134,1.02839,0.83806,1.20944,0.009604,0.009604,0.009604
6,1024.27,1.09665,0.95648,1.21987,0.87476,0.76154,0.85931,0.65761,1.02141,0.72181,1.17065,0.009505,0.009505,0.009505
7,1193.02,1.06885,0.87868,1.19657,0.83263,0.79237,0.86586,0.68447,0.97299,0.68418,1.14899,0.009406,0.009406,0.009406
8,1367.63,1.05427,0.83914,1.18446,0.87814,0.80333,0.8809,0.71764,0.95039,0.62446,1.12138,0.009307,0.009307,0.009307
9,1544.78,1.03095,0.79536,1.1793,0.84986,0.82867,0.87697,0.6954,0.96697,0.63562,1.14234,0.009208,0.009208,0.009208
10,1715.06,1.02079,0.7793,1.16922,0.8757,0.86035,0.91342,0.74257,0.94059,0.57068,1.12442,0.009109,0.009109,0.009109
11,1883.23,1.01148,0.74221,1.15965,0.91196,0.82242,0.90892,0.75009,0.92319,0.57616,1.10346,0.00901,0.00901,0.00901
12,2051.4,1.00338,0.73233,1.15971,0.88449,0.85678,0.91283,0.74479,0.92463,0.55909,1.10386,0.008911,0.008911,0.008911
13,2218.33,0.98417,0.70161,1.14694,0.88893,0.86469,0.92319,0.76739,0.8952,0.53761,1.08555,0.008812,0.008812,0.008812
14,2385.05,0.97051,0.68637,1.14019,0.93273,0.85538,0.93557,0.77613,0.89676,0.50913,1.08252,0.008713,0.008713,0.008713
15,2552.06,0.97346,0.67354,1.14416,0.94524,0.86304,0.93458,0.78157,0.89833,0.50182,1.08295,0.008614,0.008614,0.008614
16,2719.15,0.97158,0.67011,1.13816,0.92437,0.86642,0.9338,0.78998,0.88245,0.50753,1.07082,0.008515,0.008515,0.008515
17,2886.64,0.94643,0.64945,1.13107,0.91268,0.87821,0.93553,0.79082,0.87113,0.49079,1.06223,0.008416,0.008416,0.008416
18,3053.53,0.94522,0.63343,1.13212,0.93102,0.87809,0.94098,0.79271,0.88373,0.47493,1.07183,0.008317,0.008317,0.008317
19,3219.85,0.93939,0.63015,1.12005,0.93624,0.85676,0.9288,0.79684,0.85883,0.48515,1.05739,0.008218,0.008218,0.008218
20,3386.92,0.94052,0.62467,1.12848,0.93254,0.89898,0.94367,0.80312,0.87224,0.46727,1.06019,0.008119,0.008119,0.008119
21,3553.83,0.92845,0.60881,1.11793,0.94254,0.89331,0.94781,0.807,0.86702,0.45918,1.06151,0.00802,0.00802,0.00802
22,3720.32,0.92598,0.59611,1.11562,0.94754,0.90248,0.95387,0.81007,0.85946,0.4576,1.05139,0.007921,0.007921,0.007921
23,3886.7,0.92377,0.60509,1.11351,0.95485,0.89368,0.95417,0.81808,0.86001,0.45194,1.04897,0.007822,0.007822,0.007822
24,4054.05,0.9237,0.59411,1.11621,0.93193,0.90679,0.95102,0.81402,0.85804,0.46063,1.059,0.007723,0.007723,0.007723
25,4229.64,0.91297,0.57093,1.11033,0.95029,0.90825,0.95415,0.8233,0.85409,0.42752,1.04454,0.007624,0.007624,0.007624
26,4401.95,0.90899,0.56848,1.10807,0.94203,0.9055,0.95759,0.82825,0.84942,0.42842,1.056,0.007525,0.007525,0.007525
27,4570.85,0.90919,0.57547,1.10739,0.95072,0.89856,0.95657,0.82407,0.84122,0.43084,1.04732,0.007426,0.007426,0.007426
28,4739.5,0.9033,0.56165,1.10361,0.95794,0.91007,0.9613,0.83346,0.83558,0.41184,1.04031,0.007327,0.007327,0.007327
29,4907.21,0.89664,0.54935,1.10402,0.95651,0.90967,0.95677,0.83055,0.84413,0.4095,1.04224,0.007228,0.007228,0.007228
