epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.3177,1.36927,3.07984,1.36328,0.29684,0.57994,0.35378,0.2206,1.22816,2.40906,1.38597,0.000472553,0.000472553,0.000472553
2,40.21,1.46348,2.53596,1.3856,0.33717,0.5527,0.45983,0.26445,1.32778,2.66547,1.42885,0.000939492,0.000939492,0.000939492
3,58.8965,1.48817,2.25459,1.41737,0.53536,0.58939,0.61172,0.31797,1.46026,2.19623,1.51278,0.001397,0.001397,0.001397
4,77.4286,1.46978,1.93084,1.39226,0.71224,0.72184,0.75955,0.44874,1.3314,1.45201,1.43463,0.00138656,0.00138656,0.00138656
5,95.9005,1.47374,1.74319,1.39874,0.79942,0.74042,0.84516,0.55427,1.24913,1.35804,1.30808,0.00137241,0.00137241,0.00137241
6,114.641,1.42511,1.59574,1.36315,0.86981,0.83563,0.91027,0.58139,1.21048,1.08555,1.32144,0.00135826,0.00135826,0.00135826
7,133.22,1.38063,1.43377,1.3228,0.88914,0.85309,0.90627,0.61946,1.12892,1.09908,1.27354,0.00134412,0.00134412,0.00134412
8,151.6,1.36288,1.44607,1.35692,0.8354,0.86,0.89627,0.56557,1.23948,0.99685,1.32192,0.00132997,0.00132997,0.00132997
9,169.957,1.34307,1.28798,1.31985,0.92191,0.91665,0.95477,0.62055,1.19682,0.83741,1.27944,0.00131582,0.00131582,0.00131582
10,188.49,1.30184,1.23868,1.28758,0.8788,0.79445,0.8717,0.58225,1.17105,1.0013,1.26163,0.00130168,0.00130168,0.00130168
11,207.254,1.26715,1.16015,1.257,0.92723,0.92651,0.94663,0.62516,1.11548,0.85129,1.23561,0.00128753,0.00128753,0.00128753
12,225.596,1.2771,1.16071,1.26432,0.9433,0.90992,0.95872,0.63129,1.15285,0.82946,1.25837,0.00127338,0.00127338,0.00127338
13,244.243,1.31063,1.17942,1.29055,0.90676,0.93959,0.95404,0.65041,1.04968,0.85086,1.21097,0.00125923,0.00125923,0.00125923
14,262.849,1.3106,1.1467,1.31479,0.91867,0.88395,0.94257,0.63277,1.14361,0.81175,1.24003,0.00124509,0.00124509,0.00124509
15,281.276,1.27879,1.0958,1.2745,0.97124,0.90791,0.97662,0.64739,1.12103,0.69597,1.22588,0.00123094,0.00123094,0.00123094
16,299.897,1.23042,1.00338,1.25018,0.94391,0.90003,0.95604,0.65812,1.07052,0.66534,1.22669,0.00121679,0.00121679,0.00121679
17,318.509,1.22747,0.99553,1.24473,0.96229,0.92406,0.97426,0.66003,1.11384,0.68734,1.22964,0.00120265,0.00120265,0.00120265
