epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,191.067,0.74904,0.37479,1.01584,0.95453,0.92608,0.96582,0.86352,0.81219,0.34855,1.01632,0.000302722,0.000302722,0.000302722
2,366.468,0.79314,0.42182,1.04251,0.95145,0.90315,0.95567,0.8381,0.82456,0.3809,1.02282,0.000593728,0.000593728,0.000593728
3,540.135,0.82186,0.46026,1.05625,0.93647,0.91148,0.95021,0.81752,0.84433,0.40681,1.04572,0.000872736,0.000872736,0.000872736
4,712.036,0.83491,0.47462,1.06478,0.95735,0.91682,0.95911,0.83935,0.8325,0.3891,1.03429,0.000855005,0.000855005,0.000855005
5,886.744,0.83937,0.47018,1.06912,0.92698,0.91726,0.95554,0.82781,0.84618,0.39993,1.03905,0.000837007,0.000837007,0.000837007
6,1060.07,0.83343,0.46525,1.0638,0.95628,0.91164,0.95826,0.83677,0.84089,0.38965,1.03487,0.000819009,0.000819009,0.000819009
7,1231.14,0.82505,0.45624,1.054,0.94664,0.91313,0.96266,0.84291,0.81674,0.37821,1.02365,0.000801011,0.000801011,0.000801011
8,1402.56,0.82691,0.45318,1.05509,0.96412,0.92561,0.9693,0.84783,0.84036,0.3733,1.04314,0.000783013,0.000783013,0.000783013
9,1572.76,0.81698,0.44868,1.05175,0.94079,0.91796,0.9573,0.84648,0.82188,0.37956,1.01742,0.000765014,0.000765014,0.000765014
10,1742.31,0.81504,0.43897,1.04831,0.94495,0.91951,0.96085,0.846,0.81599,0.38016,1.02274,0.000747016,0.000747016,0.000747016
11,1918.06,0.81231,0.43883,1.04862,0.95327,0.92756,0.9662,0.84962,0.81549,0.36482,1.02157,0.000729018,0.000729018,0.000729018
12,2098.71,0.81,0.43653,1.04877,0.95984,0.91661,0.96447,0.85113,0.82257,0.37284,1.02011,0.00071102,0.00071102,0.00071102
13,2272.82,0.8088,0.43513,1.0444,0.95671,0.91709,0.96343,0.85491,0.81047,0.36625,1.01118,0.000693022,0.000693022,0.000693022
14,2446.59,0.80137,0.43185,1.04494,0.9612,0.93464,0.96793,0.85534,0.81703,0.35529,1.02356,0.000675023,0.000675023,0.000675023
15,2619.16,0.81221,0.426,1.04825,0.96008,0.9227,0.96367,0.85463,0.80959,0.35717,1.01356,0.000657025,0.000657025,0.000657025
16,2793.03,0.79641,0.42313,1.03892,0.9518,0.9277,0.96573,0.85716,0.8117,0.35197,1.01855,0.000639027,0.000639027,0.000639027
17,2965.84,0.79521,0.42017,1.04186,0.95473,0.93478,0.96876,0.86341,0.80239,0.34327,1.00887,0.000621029,0.000621029,0.000621029
18,3139.19,0.79266,0.41173,1.03857,0.95754,0.92423,0.96354,0.8584,0.80298,0.35462,1.01492,0.000603031,0.000603031,0.000603031
19,3312.75,0.78959,0.40859,1.03562,0.9496,0.93557,0.96632,0.85391,0.80813,0.35038,1.0162,0.000585032,0.000585032,0.000585032
