epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,216.434,0.85427,1.02078,0.98476,0.94663,0.94841,0.96399,0.61286,1.20864,0.8048,1.09819,0.00066586,0.00066586,0.00066586
2,390.263,0.77617,0.52392,0.99148,0.98115,0.93683,0.98153,0.66176,1.21279,0.61504,1.09133,0.00128855,0.00128855,0.00128855
3,562.089,0.7205,0.44473,0.97735,0.96039,0.94537,0.96873,0.61978,1.23013,0.68668,1.11374,0.00186725,0.00186725,0.00186725
4,732.646,0.66097,0.39616,0.95395,0.98042,0.96101,0.98569,0.67301,1.17894,0.56907,1.07571,0.001802,0.001802,0.001802
5,903.225,0.62431,0.36576,0.938,0.9703,0.96037,0.98702,0.67419,1.19343,0.54427,1.09061,0.001736,0.001736,0.001736
6,1074.26,0.58364,0.34548,0.92427,0.97288,0.96828,0.98838,0.662,1.17486,0.55381,1.08062,0.00167,0.00167,0.00167
7,1245.59,0.54229,0.32656,0.90831,0.99055,0.9796,0.99264,0.68998,1.15024,0.50651,1.07386,0.001604,0.001604,0.001604
8,1416.54,0.52039,0.30819,0.90169,0.98319,0.96941,0.99046,0.68354,1.16291,0.5101,1.07893,0.001538,0.001538,0.001538
9,1584.83,0.50171,0.29972,0.89381,0.98771,0.97361,0.99241,0.69346,1.14554,0.49512,1.06407,0.001472,0.001472,0.001472
10,1752.93,0.48155,0.28984,0.88684,0.99082,0.9796,0.99353,0.70248,1.12152,0.47938,1.05196,0.001406,0.001406,0.001406
11,1920.26,0.47027,0.28406,0.88519,0.98733,0.982,0.99129,0.68696,1.14151,0.47917,1.06429,0.00134,0.00134,0.00134
12,2089.13,0.45751,0.27435,0.87875,0.98764,0.979,0.99037,0.69826,1.13185,0.45833,1.06352,0.001274,0.001274,0.001274
13,2258.54,0.44543,0.26283,0.87815,0.99268,0.97675,0.99136,0.70633,1.1067,0.45116,1.05254,0.001208,0.001208,0.001208
14,2428.55,0.43381,0.25213,0.87141,0.98872,0.9808,0.99227,0.70945,1.1275,0.44238,1.05596,0.001142,0.001142,0.001142
15,2596.59,0.42644,0.25241,0.86979,0.98672,0.98093,0.99304,0.7027,1.13099,0.44404,1.06563,0.001076,0.001076,0.001076
16,2766.29,0.42124,0.2483,0.86883,0.99447,0.976,0.99352,0.71421,1.11171,0.43973,1.04462,0.00101,0.00101,0.00101
17,2933.46,0.40966,0.24332,0.86674,0.99028,0.9776,0.99234,0.70723,1.12112,0.43139,1.05703,0.000944,0.000944,0.000944
18,3102.25,0.39957,0.23326,0.8652,0.98987,0.9808,0.9924,0.70807,1.11372,0.42892,1.04703,0.000878,0.000878,0.000878
19,3268.47,0.38771,0.23149,0.86025,0.98379,0.98279,0.99309,0.72113,1.09262,0.43748,1.03843,0.000812,0.000812,0.000812
20,3435.84,0.37612,0.22004,0.85521,0.99165,0.9814,0.99326,0.71116,1.11891,0.4243,1.05082,0.000746,0.000746,0.000746
21,3602.67,1.09375,0.47,1.06114,0.99062,0.9886,0.99321,0.71192,1.10417,0.43481,1.04361,0.00068,0.00068,0.00068
22,3769.37,1.07176,0.4512,1.0498,0.99048,0.985,0.99419,0.72805,1.07834,0.4254,1.02756,0.000614,0.000614,0.000614
23,3939.7,1.06705,0.44177,1.04821,0.988,0.98772,0.99385,0.71986,1.09023,0.421,1.03029,0.000548,0.000548,0.000548
24,4107.86,1.05447,0.43462,1.04002,0.99097,0.98743,0.99418,0.73135,1.06565,0.40815,1.01984,0.000482,0.000482,0.000482
25,4277.44,1.03784,0.4187,1.03106,0.9915,0.9886,0.994,0.73047,1.06312,0.39958,1.02214,0.000416,0.000416,0.000416
26,4447.82,1.03262,0.41073,1.02919,0.99444,0.9916,0.99433,0.73105,1.06381,0.39378,1.02156,0.00035,0.00035,0.00035
27,4619.94,1.01948,0.39922,1.02283,0.99447,0.9904,0.99423,0.73337,1.05586,0.38776,1.0149,0.000284,0.000284,0.000284
28,4791.59,1.01496,0.39052,1.02237,0.99399,0.9924,0.99429,0.73141,1.05409,0.38085,1.01267,0.000218,0.000218,0.000218
29,4962.87,1.00315,0.38198,1.01618,0.994,0.991,0.99425,0.73608,1.05397,0.37532,1.01149,0.000152,0.000152,0.000152
30,5131.5,0.99391,0.37229,1.01247,0.99423,0.994,0.9943,0.74088,1.05054,0.37042,1.0097,8.6e-05,8.6e-05,8.6e-05
